shipment_id,order_id,warehouse_id,shipping_city,shipping_state,shipping_partner,shipped_date,expected_delivery_date,actual_delivery_date,shipment_status,delivery_days,shipping_cost,shipment_priority,tracking_status,delay_reason,delivery_rating,customer_feedback,is_on_time
SHP002934,ORD002934,9,Bhimavaram, Sikkim,Blue Dart,17-08-2025,21-08-2025,24-08-2025,Returned,7,537.84,Standard,Returned to Warehouse,,5,Excellent,No
SHP002935,ORD002935,11,Berhampur, Jharkhand,Blue Dart,21-10-2024,27-10-2024,28-10-2024,Returned,7,381.09,Standard,Returned to Warehouse,,5,Excellent,No
SHP002936,ORD002936,11,Tiruppur, West Bengal,DTDC,22-01-2025,29-01-2025,29-01-2025,Delivered,7,314.6,Standard,Delivered,,2,Poor,Yes
SHP002937,ORD002937,22,Bharatpur, Haryana,Delhivery,18-12-2025,21-12-2025,22-12-2025,Delivered,4,896.02,Standard,Delivered,,2,Poor,No
SHP002938,ORD002938,25,Dehri, Himachal Pradesh,Blue Dart,02-12-2024,06-12-2024,05-12-2024,Delivered,3,702.75,Same Day,Delivered,,4,Good,Yes
SHP002939,ORD002939,18,Phagwara, Nagaland,DTDC,15-07-2026,19-07-2026,18-07-2026,Delivered,3,808.13,Standard,Delivered,,3,Average,Yes
SHP002940,ORD002940,6,Nagaon, Maharashtra,DTDC,11-08-2024,18-08-2024,19-08-2024,Delivered,8,882.34,Standard,Delivered,,3,Average,No
SHP002941,ORD002941,7,Burhanpur, Meghalaya,Ecom Express,30-12-2025,02-01-2026,,Out for Delivery,,892.91,Standard,Out for Delivery,,,,Pending
SHP002942,ORD002942,12,Naihati, Himachal Pradesh,Ekart Logistics,23-10-2024,28-10-2024,28-10-2024,Delivered,5,731.19,Standard,Delivered,,4,Good,Yes
SHP002943,ORD002943,15,Berhampur, Jharkhand,DTDC,07-01-2026,11-01-2026,,In Transit,,189.02,Standard,Arrived at Hub,,,,Pending
SHP002944,ORD002944,9,Kulti, Uttar Pradesh,India Post,03-05-2025,08-05-2025,,In Transit,,822.46,Standard,Arrived at Hub,,,,Pending
SHP002945,ORD002945,1,Farrukhabad, Maharashtra,Blue Dart,26-11-2024,29-11-2024,29-11-2024,Delivered,3,931.42,Express,Delivered,,5,Excellent,Yes
SHP002946,ORD002946,18,Jodhpur, Haryana,Delhivery,22-02-2026,26-02-2026,27-02-2026,Delivered,5,589.08,Standard,Delivered,,5,Excellent,No
SHP002947,ORD002947,2,Tadipatri, Goa,Blue Dart,04-06-2026,11-06-2026,11-06-2026,Delivered,7,615.51,Standard,Delivered,,4,Good,Yes
SHP002948,ORD002948,13,Miryalaguda, Uttar Pradesh,Blue Dart,03-07-2026,06-07-2026,,In Transit,,222.05,Standard,Arrived at Hub,,,,Pending
SHP002949,ORD002949,2,Ghaziabad, Punjab,DTDC,03-07-2025,05-07-2025,07-07-2025,Returned,4,152.09,Standard,Returned to Warehouse,,3,Average,No
SHP002950,ORD002950,5,Gopalpur, West Bengal,XpressBees,21-05-2026,24-05-2026,,Out for Delivery,,87.94,Standard,Out for Delivery,,,,Pending
SHP002951,ORD002951,2,Ichalkaranji, Andhra Pradesh,XpressBees,02-12-2025,04-12-2025,04-12-2025,Delivered,2,977.99,Express,Delivered,,4,Good,Yes
SHP002952,ORD002952,10,Shivpuri, Maharashtra,DTDC,08-03-2025,11-03-2025,10-03-2025,Delivered,2,259.42,Standard,Delivered,,5,Excellent,Yes
SHP002953,ORD002953,25,Naihati, Jharkhand,Delhivery,08-04-2025,14-04-2025,14-04-2025,Delivered,6,848.73,Standard,Delivered,,4,Good,Yes
SHP002954,ORD002954,18,Chennai, Maharashtra,Shadowfax,21-07-2025,25-07-2025,24-07-2025,Delivered,3,213.25,Standard,Delivered,,3,Average,Yes
SHP002955,ORD002955,13,Uluberia, Himachal Pradesh,Shadowfax,06-02-2026,12-02-2026,,In Transit,,635.48,Standard,Arrived at Hub,,,,Pending
SHP002956,ORD002956,3,Jhansi, Sikkim,Delhivery,27-12-2025,03-01-2026,04-01-2026,Delivered,8,979.74,Standard,Delivered,,4,Good,No
SHP002957,ORD002957,16,Malegaon, Haryana,Delhivery,11-02-2025,13-02-2025,18-02-2025,Delayed,7,853.11,Standard,Delivery Delayed,Warehouse Delay,,,No
SHP002958,ORD002958,15,Loni, Bihar,Delhivery,21-12-2025,24-12-2025,23-12-2025,Delivered,2,921.74,Standard,Delivered,,4,Good,Yes
SHP002959,ORD002959,1,Dibrugarh, Tripura,Ecom Express,21-06-2025,28-06-2025,30-06-2025,Returned,9,463.43,Standard,Returned to Warehouse,,4,Good,No
SHP002960,ORD002960,13,Jamalpur, Tripura,Delhivery,04-07-2026,07-07-2026,06-07-2026,Delivered,2,145.35,Express,Delivered,,5,Excellent,Yes
SHP002961,ORD002961,23,Phagwara, Karnataka,Blue Dart,18-08-2024,23-08-2024,22-08-2024,Delivered,4,752.21,Express,Delivered,,2,Poor,Yes
SHP002962,ORD002962,20,Vellore, Mizoram,Delhivery,20-05-2026,22-05-2026,23-05-2026,Delivered,3,776.8,Express,Delivered,,3,Average,No
SHP002963,ORD002963,22,Orai, Maharashtra,Delhivery,10-04-2026,15-04-2026,16-04-2026,Delivered,6,375.17,Same Day,Delivered,,3,Average,No
SHP002964,ORD002964,17,Fatehpur, Rajasthan,Blue Dart,09-05-2026,14-05-2026,,Out for Delivery,,626.23,Express,Out for Delivery,,,,Pending
SHP002965,ORD002965,23,Pondicherry, Madhya Pradesh,Delhivery,17-02-2026,23-02-2026,26-02-2026,Returned,9,699.11,Express,Returned to Warehouse,,4,Good,No
SHP002966,ORD002966,13,Tezpur, Tripura,Delhivery,14-08-2025,17-08-2025,17-08-2025,Delivered,3,385.6,Express,Delivered,,3,Average,Yes
SHP002967,ORD002967,23,Anand, Bihar,Blue Dart,29-03-2025,01-04-2025,01-04-2025,Delivered,3,620.41,Express,Delivered,,4,Good,Yes
SHP002968,ORD002968,1,Asansol, Bihar,Blue Dart,24-03-2026,31-03-2026,,In Transit,,712.7,Express,Arrived at Hub,,,,Pending
SHP002969,ORD002969,1,Thanjavur, Chhattisgarh,Delhivery,09-01-2026,15-01-2026,15-01-2026,Delivered,6,391.54,Express,Delivered,,3,Average,Yes
SHP002970,ORD002970,14,Davanagere, Haryana,Delhivery,09-08-2024,14-08-2024,19-08-2024,Delayed,10,134.99,Standard,Delivery Delayed,Warehouse Delay,,,No
SHP002971,ORD002971,8,Gurgaon, Karnataka,Delhivery,06-05-2025,10-05-2025,10-05-2025,Delivered,4,504.6,Standard,Delivered,,3,Average,Yes
SHP002972,ORD002972,19,Gudivada, Mizoram,Blue Dart,22-07-2026,24-07-2026,,In Transit,,980.2,Standard,Arrived at Hub,,,,Pending
SHP002973,ORD002973,25,Satara, Rajasthan,Delhivery,05-09-2025,07-09-2025,08-09-2025,Delivered,3,920.06,Express,Delivered,,5,Excellent,No
SHP002974,ORD002974,23,Parbhani, Maharashtra,Ekart Logistics,26-07-2024,30-07-2024,,In Transit,,125.29,Standard,Arrived at Hub,,,,Pending
SHP002975,ORD002975,15,Mau, Uttarakhand,Delhivery,23-01-2025,27-01-2025,26-01-2025,Delivered,3,865.58,Express,Delivered,,3,Average,Yes
SHP002976,ORD002976,6,Guna, Gujarat,Delhivery,15-03-2026,20-03-2026,20-03-2026,Delivered,5,208.3,Express,Delivered,,5,Excellent,Yes
SHP002977,ORD002977,3,Ajmer, Meghalaya,Ecom Express,15-09-2024,21-09-2024,27-09-2024,Delayed,12,671.89,Same Day,Delivery Delayed,Vehicle Breakdown,,,No
SHP002978,ORD002978,24,Mahbubnagar, Gujarat,Blue Dart,06-06-2026,12-06-2026,,Out for Delivery,,496.74,Standard,Out for Delivery,,,,Pending
SHP002979,ORD002979,6,Dhanbad, Meghalaya,Delhivery,08-12-2025,10-12-2025,09-12-2025,Delivered,1,622.5,Express,Delivered,,3,Average,Yes
SHP002980,ORD002980,25,Pali, Arunachal Pradesh,Ecom Express,26-06-2025,30-06-2025,29-06-2025,Delivered,3,557.26,Express,Delivered,,3,Average,Yes
SHP002981,ORD002981,18,Rampur, Uttar Pradesh,DTDC,14-03-2025,21-03-2025,,In Transit,,219.98,Express,Arrived at Hub,,,,Pending
SHP002982,ORD002982,6,Mira-Bhayandar, Arunachal Pradesh,XpressBees,07-02-2026,11-02-2026,,In Transit,,862.64,Express,Arrived at Hub,,,,Pending
SHP002983,ORD002983,17,Lucknow, Karnataka,Blue Dart,01-09-2025,07-09-2025,10-09-2025,Returned,9,900.1,Standard,Returned to Warehouse,,3,Average,No
SHP002984,ORD002984,6,Amritsar, Chhattisgarh,Delhivery,16-06-2025,21-06-2025,,In Transit,,198.11,Standard,Arrived at Hub,,,,Pending
SHP002985,ORD002985,20,Tirupati, Gujarat,Blue Dart,22-04-2025,28-04-2025,28-04-2025,Delivered,6,489.28,Standard,Delivered,,3,Average,Yes
SHP002986,ORD002986,23,Kanpur, Himachal Pradesh,DTDC,11-11-2024,18-11-2024,17-11-2024,Delivered,6,203.98,Same Day,Delivered,,4,Good,Yes
SHP002987,ORD002987,2,Gulbarga, Punjab,Blue Dart,28-03-2025,02-04-2025,03-04-2025,Returned,6,50.54,Standard,Returned to Warehouse,,5,Excellent,No
SHP002988,ORD002988,16,Medininagar, Haryana,Blue Dart,14-01-2025,19-01-2025,20-01-2025,Delivered,6,564.4,Express,Delivered,,2,Poor,No
SHP002989,ORD002989,17,Madhyamgram, Karnataka,Ecom Express,19-02-2025,25-02-2025,,Out for Delivery,,598.6,Express,Out for Delivery,,,,Pending
SHP002990,ORD002990,13,Durgapur, Kerala,Delhivery,15-12-2025,21-12-2025,,In Transit,,940.03,Standard,Arrived at Hub,,,,Pending
SHP002991,ORD002991,16,Tinsukia, Uttar Pradesh,India Post,26-02-2025,28-02-2025,27-02-2025,Delivered,1,119.75,Standard,Delivered,,3,Average,Yes
SHP002992,ORD002992,10,Kakinada, Uttarakhand,Delhivery,17-08-2025,23-08-2025,23-08-2025,Delivered,6,413.44,Standard,Delivered,,3,Average,Yes
SHP002993,ORD002993,1,Dehradun, Uttarakhand,Delhivery,26-08-2025,29-08-2025,,Out for Delivery,,762.8,Express,Out for Delivery,,,,Pending
SHP002994,ORD002994,25,Mathura, Uttarakhand,Ecom Express,11-01-2025,14-01-2025,16-01-2025,Returned,5,871.94,Standard,Returned to Warehouse,,3,Average,No
SHP002995,ORD002995,24,Mau, Tamil Nadu,Delhivery,21-03-2025,26-03-2025,,Out for Delivery,,282.27,Standard,Out for Delivery,,,,Pending
SHP002996,ORD002996,8,Udupi, Odisha,XpressBees,12-05-2025,16-05-2025,16-05-2025,Delivered,4,429.28,Express,Delivered,,5,Excellent,Yes
SHP002997,ORD002997,12,Durg, Manipur,Shadowfax,11-12-2024,16-12-2024,,In Transit,,173.89,Standard,Arrived at Hub,,,,Pending
SHP002998,ORD002998,8,Dehri, Odisha,Delhivery,01-04-2026,08-04-2026,07-04-2026,Delivered,6,330.65,Express,Delivered,,3,Average,Yes
SHP002999,ORD002999,15,Bettiah, Karnataka,Delhivery,27-03-2025,03-04-2025,03-04-2025,Delivered,7,124.22,Standard,Delivered,,3,Average,Yes
SHP003000,ORD003000,17,Secunderabad, Arunachal Pradesh,Ecom Express,22-12-2024,27-12-2024,26-12-2024,Delivered,4,937.28,Standard,Delivered,,5,Excellent,Yes
SHP003001,ORD003001,16,Imphal, Uttar Pradesh,Ekart Logistics,18-05-2026,22-05-2026,22-05-2026,Delivered,4,233.81,Standard,Delivered,,5,Excellent,Yes
SHP003002,ORD003002,6,Ichalkaranji, Nagaland,XpressBees,07-06-2026,09-06-2026,,In Transit,,188.64,Standard,Arrived at Hub,,,,Pending
SHP003003,ORD003003,9,Latur, Haryana,DTDC,09-12-2024,11-12-2024,,In Transit,,534.03,Standard,Arrived at Hub,,,,Pending
SHP003004,ORD003004,12,Karawal Nagar, Mizoram,DTDC,02-12-2024,07-12-2024,09-12-2024,Returned,7,367.34,Express,Returned to Warehouse,,4,Good,No
SHP003005,ORD003005,12,Sultan Pur Majra, Madhya Pradesh,Ecom Express,26-04-2025,30-04-2025,30-04-2025,Delivered,4,399.57,Standard,Delivered,,3,Average,Yes
SHP003006,ORD003006,19,Madurai, Punjab,DTDC,02-10-2025,07-10-2025,09-10-2025,Returned,7,461.74,Standard,Returned to Warehouse,,4,Good,No
SHP003007,ORD003007,22,Kadapa, Tamil Nadu,Delhivery,19-04-2026,26-04-2026,27-04-2026,Delivered,8,588.03,Standard,Delivered,,3,Average,No
SHP003008,ORD003008,5,Khora , Telangana,XpressBees,02-05-2026,06-05-2026,07-05-2026,Delivered,5,728.56,Standard,Delivered,,4,Good,No
SHP003009,ORD003009,21,Ulhasnagar, Himachal Pradesh,Ekart Logistics,07-10-2025,10-10-2025,,In Transit,,185.1,Express,Arrived at Hub,,,,Pending
SHP003010,ORD003010,3,Salem, Sikkim,Delhivery,08-04-2025,13-04-2025,13-04-2025,Delivered,5,424.68,Standard,Delivered,,5,Excellent,Yes
SHP003011,ORD003011,10,Munger, Himachal Pradesh,Delhivery,26-11-2025,29-11-2025,28-11-2025,Delivered,2,447.46,Same Day,Delivered,,3,Average,Yes
SHP003012,ORD003012,5,Dehri, Manipur,Ekart Logistics,24-04-2026,30-04-2026,01-05-2026,Delivered,7,292.39,Standard,Delivered,,5,Excellent,No
SHP003013,ORD003013,1,Kavali, Madhya Pradesh,Blue Dart,30-04-2026,03-05-2026,02-05-2026,Delivered,2,302.23,Standard,Delivered,,4,Good,Yes
SHP003014,ORD003014,3,Allahabad, Uttar Pradesh,Blue Dart,03-02-2026,08-02-2026,11-02-2026,Delayed,8,928.58,Standard,Delivery Delayed,High Order Volume,,,No
SHP003015,ORD003015,3,Thiruvananthapuram, Himachal Pradesh,Shadowfax,10-11-2025,15-11-2025,15-11-2025,Delivered,5,635.96,Standard,Delivered,,5,Excellent,Yes
SHP003016,ORD003016,16,Udaipur, Uttar Pradesh,Ekart Logistics,11-04-2026,17-04-2026,18-04-2026,Delivered,7,570.53,Express,Delivered,,3,Average,No
SHP003017,ORD003017,24,Vellore, Rajasthan,Delhivery,19-09-2025,26-09-2025,,Lost,,360.21,Standard,Shipment Lost,High Order Volume,,,Pending
SHP003018,ORD003018,22,Medininagar, Punjab,Ecom Express,10-07-2026,16-07-2026,17-07-2026,Delivered,7,698.47,Standard,Delivered,,4,Good,No
SHP003019,ORD003019,25,Belgaum, Goa,Delhivery,03-02-2025,06-02-2025,05-02-2025,Delivered,2,462.18,Standard,Delivered,,3,Average,Yes
SHP003020,ORD003020,17,Srinagar, Manipur,Delhivery,13-03-2026,18-03-2026,21-03-2026,Returned,8,991.75,Standard,Returned to Warehouse,,5,Excellent,No
SHP003021,ORD003021,19,Agartala, Kerala,DTDC,28-05-2025,01-06-2025,,Lost,,832.87,Express,Shipment Lost,Vehicle Breakdown,,,Pending
SHP003022,ORD003022,8,Korba, Bihar,XpressBees,17-12-2024,22-12-2024,21-12-2024,Delivered,4,929.75,Same Day,Delivered,,3,Average,Yes
SHP003023,ORD003023,17,Shivpuri, Odisha,DTDC,04-05-2026,09-05-2026,10-05-2026,Delivered,6,429.86,Standard,Delivered,,3,Average,No
SHP003024,ORD003024,10,Shimoga, Tamil Nadu,Ekart Logistics,01-12-2025,04-12-2025,03-12-2025,Delivered,2,641.91,Express,Delivered,,5,Excellent,Yes
SHP003025,ORD003025,22,Dehradun, Sikkim,Delhivery,27-05-2025,31-05-2025,,In Transit,,929.82,Express,Arrived at Hub,,,,Pending
SHP003026,ORD003026,13,Ratlam, West Bengal,Shadowfax,30-08-2025,02-09-2025,,In Transit,,443.51,Standard,Arrived at Hub,,,,Pending
SHP003027,ORD003027,11,Panchkula, Nagaland,Ekart Logistics,26-11-2024,28-11-2024,28-11-2024,Delivered,2,273.9,Express,Delivered,,5,Excellent,Yes
SHP003028,ORD003028,16,Bally, Meghalaya,Ecom Express,26-05-2025,01-06-2025,31-05-2025,Delivered,5,435.05,Standard,Delivered,,4,Good,Yes
SHP003029,ORD003029,10,Ambala, Assam,DTDC,13-09-2024,19-09-2024,18-09-2024,Delivered,5,369.31,Express,Delivered,,4,Good,Yes
SHP003030,ORD003030,19,Kumbakonam, Chhattisgarh,Ecom Express,13-09-2025,15-09-2025,14-09-2025,Delivered,1,127.99,Same Day,Delivered,,4,Good,Yes
SHP003031,ORD003031,1,Ujjain, Nagaland,Delhivery,05-02-2026,11-02-2026,11-02-2026,Delivered,6,518.02,Standard,Delivered,,4,Good,Yes
SHP003032,ORD003032,23,Kishanganj, Telangana,Delhivery,14-09-2025,17-09-2025,16-09-2025,Delivered,2,51.98,Express,Delivered,,3,Average,Yes
SHP003033,ORD003033,5,Gandhinagar, Meghalaya,Ekart Logistics,27-11-2024,01-12-2024,,In Transit,,694.8,Express,Arrived at Hub,,,,Pending
SHP003034,ORD003034,23,Madanapalle, Haryana,Delhivery,13-06-2026,20-06-2026,,In Transit,,593.4,Standard,Arrived at Hub,,,,Pending
SHP003035,ORD003035,10,Nellore, Tripura,Delhivery,17-04-2025,19-04-2025,18-04-2025,Delivered,1,996.5,Standard,Delivered,,3,Average,Yes
SHP003036,ORD003036,2,Kamarhati, Jharkhand,Delhivery,27-12-2025,29-12-2025,,In Transit,,830.36,Express,Arrived at Hub,,,,Pending
SHP003037,ORD003037,6,Guna, Madhya Pradesh,Delhivery,11-11-2024,16-11-2024,15-11-2024,Delivered,4,303.96,Same Day,Delivered,,4,Good,Yes
SHP003038,ORD003038,17,Warangal, Assam,Blue Dart,12-07-2026,18-07-2026,20-07-2026,Returned,8,181.69,Standard,Returned to Warehouse,,3,Average,No
SHP003039,ORD003039,9,Gudivada, Kerala,Blue Dart,23-08-2024,30-08-2024,31-08-2024,Delivered,8,539.15,Standard,Delivered,,4,Good,No
SHP003040,ORD003040,8,Ludhiana, Bihar,Blue Dart,01-11-2025,03-11-2025,,Out for Delivery,,423.72,Standard,Out for Delivery,,,,Pending
SHP003041,ORD003041,6,Solapur, Punjab,DTDC,06-06-2026,11-06-2026,11-06-2026,Delivered,5,390.81,Standard,Delivered,,4,Good,Yes
SHP003042,ORD003042,10,Sonipat, Andhra Pradesh,Ekart Logistics,11-03-2025,18-03-2025,18-03-2025,Delivered,7,447.07,Standard,Delivered,,3,Average,Yes
SHP003043,ORD003043,10,Katni, Goa,Delhivery,02-08-2024,06-08-2024,05-08-2024,Delivered,3,278.65,Standard,Delivered,,5,Excellent,Yes
SHP003044,ORD003044,5,Bihar Sharif, Tamil Nadu,Ekart Logistics,25-02-2026,27-02-2026,,In Transit,,105.81,Standard,Arrived at Hub,,,,Pending
SHP003045,ORD003045,5,Etawah, Andhra Pradesh,Delhivery,21-03-2026,26-03-2026,25-03-2026,Delivered,4,191.86,Standard,Delivered,,5,Excellent,Yes
SHP003046,ORD003046,25,Nangloi Jat, Chhattisgarh,XpressBees,04-12-2024,11-12-2024,11-12-2024,Delivered,7,600.31,Standard,Delivered,,4,Good,Yes
SHP003047,ORD003047,14,Kamarhati, Jharkhand,XpressBees,09-11-2024,11-11-2024,12-11-2024,Delivered,3,684.86,Standard,Delivered,,2,Poor,No
SHP003048,ORD003048,24,Phagwara, Chhattisgarh,Delhivery,26-09-2024,30-09-2024,,In Transit,,940.56,Express,Arrived at Hub,,,,Pending
SHP003049,ORD003049,16,Hyderabad, Himachal Pradesh,Delhivery,23-07-2025,27-07-2025,,In Transit,,198.7,Standard,Arrived at Hub,,,,Pending
SHP003050,ORD003050,3,Bhusawal, Manipur,Ecom Express,18-02-2026,20-02-2026,22-02-2026,Returned,4,420.08,Standard,Returned to Warehouse,,3,Average,No
SHP003051,ORD003051,15,Bardhaman, Bihar,Blue Dart,07-01-2025,12-01-2025,13-01-2025,Delivered,6,869.45,Standard,Delivered,,3,Average,No
SHP003052,ORD003052,11,Dewas, Andhra Pradesh,Shadowfax,08-01-2026,15-01-2026,17-01-2026,Returned,9,675.48,Standard,Returned to Warehouse,,3,Average,No
SHP003053,ORD003053,25,Machilipatnam, Meghalaya,Ecom Express,04-07-2026,11-07-2026,10-07-2026,Delivered,6,57.07,Standard,Delivered,,4,Good,Yes
SHP003054,ORD003054,9,Bhalswa Jahangir Pur, Kerala,Blue Dart,19-01-2026,21-01-2026,21-01-2026,Delivered,2,881.74,Standard,Delivered,,3,Average,Yes
SHP003055,ORD003055,2,Pune, Tripura,Shadowfax,11-05-2025,14-05-2025,15-05-2025,Delivered,4,623.73,Standard,Delivered,,5,Excellent,No
SHP003056,ORD003056,7,Baranagar, Goa,Delhivery,30-12-2025,02-01-2026,02-01-2026,Delivered,3,86.53,Standard,Delivered,,3,Average,Yes
SHP003057,ORD003057,12,Gandhinagar, Nagaland,Delhivery,26-12-2024,30-12-2024,31-12-2024,Delivered,5,404.37,Standard,Delivered,,4,Good,No
SHP003058,ORD003058,16,Jorhat, Gujarat,XpressBees,23-06-2026,26-06-2026,25-06-2026,Delivered,2,190.42,Standard,Delivered,,4,Good,Yes
SHP003059,ORD003059,24,Mango, Manipur,Blue Dart,10-11-2024,16-11-2024,,In Transit,,309.77,Express,Arrived at Hub,,,,Pending
SHP003060,ORD003060,17,Jhansi, Bihar,XpressBees,31-01-2026,06-02-2026,07-02-2026,Delivered,7,236.83,Express,Delivered,,3,Average,No
SHP003061,ORD003061,24,Pali, Mizoram,Delhivery,10-11-2024,15-11-2024,16-11-2024,Delivered,6,611.43,Standard,Delivered,,5,Excellent,No
SHP003062,ORD003062,25,Hospet, Gujarat,Blue Dart,31-08-2024,02-09-2024,02-09-2024,Delivered,2,365.98,Standard,Delivered,,4,Good,Yes
SHP003063,ORD003063,21,Ballia, Haryana,Ekart Logistics,23-06-2025,28-06-2025,,Out for Delivery,,932.6,Standard,Out for Delivery,,,,Pending
SHP003064,ORD003064,20,Ozhukarai, Telangana,Delhivery,06-12-2024,09-12-2024,09-12-2024,Delivered,3,843.06,Standard,Delivered,,5,Excellent,Yes
SHP003065,ORD003065,9,Bahraich, Sikkim,XpressBees,25-02-2026,04-03-2026,03-03-2026,Delivered,6,825.9,Standard,Delivered,,4,Good,Yes
SHP003066,ORD003066,19,Hyderabad, Andhra Pradesh,Delhivery,02-03-2026,07-03-2026,07-03-2026,Delivered,5,54.07,Standard,Delivered,,4,Good,Yes
SHP003067,ORD003067,8,Gaya, Chhattisgarh,Delhivery,26-04-2025,29-04-2025,29-04-2025,Delivered,3,52.14,Standard,Delivered,,4,Good,Yes
SHP003068,ORD003068,3,Jorhat, Tamil Nadu,Delhivery,05-04-2025,11-04-2025,12-04-2025,Delivered,7,942.92,Standard,Delivered,,5,Excellent,No
SHP003069,ORD003069,24,Ambala, Assam,Blue Dart,15-09-2024,19-09-2024,20-09-2024,Delivered,5,680.15,Standard,Delivered,,4,Good,No
SHP003070,ORD003070,19,Dindigul, Tamil Nadu,Ecom Express,13-10-2025,19-10-2025,20-10-2025,Delivered,7,574.74,Express,Delivered,,4,Good,No
SHP003071,ORD003071,8,Sasaram, Uttarakhand,DTDC,29-10-2025,04-11-2025,07-11-2025,Returned,9,362.16,Express,Returned to Warehouse,,3,Average,No
SHP003072,ORD003072,7,Bhagalpur, Maharashtra,DTDC,09-03-2025,16-03-2025,18-03-2025,Returned,9,125.69,Standard,Returned to Warehouse,,4,Good,No
SHP003073,ORD003073,16,Karaikudi, Uttarakhand,XpressBees,06-10-2024,08-10-2024,07-10-2024,Delivered,1,934.53,Standard,Delivered,,3,Average,Yes
SHP003074,ORD003074,6,Khammam, Odisha,Delhivery,10-12-2024,17-12-2024,,Out for Delivery,,294.24,Standard,Out for Delivery,,,,Pending
SHP003075,ORD003075,14,Vijayanagaram, Punjab,Delhivery,01-10-2024,08-10-2024,,In Transit,,205.71,Express,Arrived at Hub,,,,Pending
SHP003076,ORD003076,10,Sonipat, Goa,Delhivery,25-07-2024,31-07-2024,01-08-2024,Delivered,7,571.25,Standard,Delivered,,1,Very Poor,No
SHP003077,ORD003077,5,Ambattur, Mizoram,Delhivery,15-05-2026,17-05-2026,,In Transit,,955.91,Standard,Arrived at Hub,,,,Pending
SHP003078,ORD003078,25,Saharanpur, Punjab,Blue Dart,24-04-2025,27-04-2025,,In Transit,,157.7,Standard,Arrived at Hub,,,,Pending
SHP003079,ORD003079,4,Madhyamgram, Tamil Nadu,Blue Dart,29-08-2025,04-09-2025,06-09-2025,Returned,8,535.24,Express,Returned to Warehouse,,3,Average,No
SHP003080,ORD003080,20,Sikar, Jharkhand,Blue Dart,02-04-2025,04-04-2025,04-04-2025,Delivered,2,799.55,Standard,Delivered,,4,Good,Yes
SHP003081,ORD003081,13,Moradabad, Meghalaya,Ekart Logistics,11-07-2025,17-07-2025,19-07-2025,Returned,8,739.05,Standard,Returned to Warehouse,,3,Average,No
SHP003082,ORD003082,20,Bharatpur, Rajasthan,Delhivery,20-12-2024,22-12-2024,21-12-2024,Delivered,1,188.52,Standard,Delivered,,3,Average,Yes
SHP003083,ORD003083,23,Loni, Odisha,XpressBees,13-06-2025,16-06-2025,18-06-2025,Returned,5,991.56,Standard,Returned to Warehouse,,3,Average,No
SHP003084,ORD003084,12,Muzaffarnagar, Tamil Nadu,Blue Dart,09-07-2025,13-07-2025,13-07-2025,Delivered,4,803.03,Standard,Delivered,,5,Excellent,Yes
SHP003085,ORD003085,17,Jaipur, Haryana,DTDC,03-06-2026,06-06-2026,,In Transit,,230.64,Standard,Arrived at Hub,,,,Pending
SHP003086,ORD003086,25,Amravati, Gujarat,India Post,19-05-2026,26-05-2026,29-05-2026,Returned,10,113.56,Standard,Returned to Warehouse,,3,Average,No
SHP003087,ORD003087,8,Anand, Uttarakhand,Blue Dart,11-01-2025,16-01-2025,17-01-2025,Delivered,6,782.3,Standard,Delivered,,3,Average,No
SHP003088,ORD003088,21,Mehsana, Nagaland,Delhivery,15-05-2026,18-05-2026,,In Transit,,904.97,Standard,Arrived at Hub,,,,Pending
SHP003089,ORD003089,7,Bhimavaram, Sikkim,India Post,09-10-2025,15-10-2025,,In Transit,,387.65,Express,Arrived at Hub,,,,Pending
SHP003090,ORD003090,12,Berhampur, West Bengal,Delhivery,13-08-2025,18-08-2025,,Out for Delivery,,762.25,Standard,Out for Delivery,,,,Pending
SHP003091,ORD003091,11,Siwan, Sikkim,DTDC,14-11-2025,16-11-2025,15-11-2025,Delivered,1,850.87,Standard,Delivered,,3,Average,Yes
SHP003092,ORD003092,18,Singrauli, Madhya Pradesh,Blue Dart,28-11-2024,04-12-2024,,In Transit,,178.98,Standard,Arrived at Hub,,,,Pending
SHP003093,ORD003093,18,Madhyamgram, Tamil Nadu,Delhivery,11-01-2025,15-01-2025,14-01-2025,Delivered,3,643.7,Standard,Delivered,,3,Average,Yes
SHP003094,ORD003094,21,Panihati, Tripura,Ecom Express,21-08-2025,24-08-2025,,In Transit,,346.46,Standard,Arrived at Hub,,,,Pending
SHP003095,ORD003095,10,Ramgarh, Sikkim,XpressBees,26-04-2026,28-04-2026,27-04-2026,Delivered,1,942.1,Same Day,Delivered,,2,Poor,Yes
SHP003096,ORD003096,5,Satara, Rajasthan,Delhivery,05-03-2026,10-03-2026,,Out for Delivery,,999.32,Standard,Out for Delivery,,,,Pending
SHP003097,ORD003097,14,Eluru, Uttarakhand,XpressBees,15-10-2025,17-10-2025,,Out for Delivery,,523.37,Express,Out for Delivery,,,,Pending
SHP003098,ORD003098,14,Kumbakonam, Odisha,XpressBees,10-11-2024,12-11-2024,12-11-2024,Delivered,2,361.37,Express,Delivered,,4,Good,Yes
SHP003099,ORD003099,5,Solapur, Mizoram,Delhivery,12-06-2025,18-06-2025,,In Transit,,619.57,Standard,Arrived at Hub,,,,Pending
